,MolName,SMILES,Lipophilicity
913,CHEMBL2331743,Cc1cn([C@H]2CCCN(S(=O)(=O)c3ccc(C(N)=O)c(Oc4cccc(Cl)c4)c3)C2)c(=O)[nH]c1=O,1.96
914,CHEMBL2031227,Cc1ccc(NC(=O)c2ccc(C#N)cc2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.73
915,CHEMBL51697,CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1,2.11
916,CHEMBL1412343,Cc1ccccc1NC(=O)CCS(=O)(=O)c1ccc(Br)s1,2.7
917,CHEMBL191974,Oc1ccc(-c2ccc3cc(O)ccc3c2)cc1,4.0
918,CHEMBL1940316,O=C(NC1CCS(=O)(=O)C1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,1.64
919,CHEMBL2165066,N#Cc1ccc2ccc(=O)n(CCN3CC[C@@H](NCc4ccc5c(n4)NC(=O)CO5)[C@@H](F)C3)c2c1,0.66
920,CHEMBL1219,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,-0.69
921,CHEMBL1332736,O=C(Oc1ccccc1)N1CCOCC1,1.3
922,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.82
923,CHEMBL1417095,O=c1c2ccccc2nc2n1CCO2,0.6
924,CHEMBL2140607,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OCC3CCCNC3)c21,0.6
925,CHEMBL2325719,Cc1ccc2[nH]ccc2c1-c1nc(N2CCOCC2)cc(C2(S(C)(=O)=O)CC2)n1,1.7
926,CHEMBL522505,C=C[C@H]1CN2CC[C@@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,2.26
927,CHEMBL2087853,CC(C)n1c(=O)c2c(-c3cncn3C)n(Cc3ccnc4ccc(Cl)cc34)nc2n(CC2CC2)c1=O,4.02
928,CHEMBL29609,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,3.63
929,CHEMBL114868,CC(=O)Nc1cccc(S(=O)(=O)Nc2ccc(-c3ccccc3)n(CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c2=O)c1,2.43
930,CHEMBL178397,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,3.8
931,CHEMBL1079590,CC(C)Cn1cnc(-c2ccccc2)c1-c1nc2c(N)ncnc2s1,3.72
932,CHEMBL1464,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,0.86
933,CHEMBL1917438,Cc1c(Sc2ccc(Cl)cc2)c2c(-c3ccccc3)cccc2n1CC(=O)O,2.61
934,CHEMBL1789155,N#Cc1ccc(Cl)cc1S[C@H](CCN)c1ccccc1,1.26
935,CHEMBL2151326,COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c2ccc(F)cn2)n[nH]1,2.18
936,CHEMBL1164070,Cc1cccc(C(=O)N2CCC(C(=O)c3ccc(F)cc3)CC2)c1,3.4
937,CHEMBL208487,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccccc3C(F)(F)F)sc21,2.74
938,CHEMBL74582,C=CCNS(=O)(=O)c1ccc(NC(=O)[C@@](C)(O)C(F)(F)F)c(Cl)c1,3.07
939,CHEMBL1995703,Cc1cnc(Nc2ccc(N3CCN(C)CC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,2.84
940,CHEMBL1643203,Cc1cc(CN2Cc3cccnc3CC2C(=O)Nc2ccc(Cl)cc2Cl)ccc1OCC(=O)O,1.15
941,CHEMBL1324,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,0.74
942,CHEMBL1224285,NC(=O)c1ccc(O[C@@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)cn1,1.51
943,CHEMBL1645493,CNC(=O)c1ccc2c(=O)cc(-c3cccnc3)[nH]c2c1,1.01
944,CHEMBL2030964,CNc1cccc(CCCc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)s2)n1,0.78
945,CHEMBL2158824,O=C(O)c1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,2.31
946,CHEMBL207100,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3cncc4ccccc34)sc21,1.74
947,CHEMBL1807850,C[C@H]1O[C@@H](n2cnc3c(N)nc(O[C@H]4CC[C@H](C)CC4)nc32)[C@H](O)[C@@H]1O,2.35
948,CHEMBL280713,O=C(O)c1ccccc1Cn1nnc(-c2cccc(OCc3ccc4ccccc4n3)c2)n1,2.1
949,CHEMBL2059005,CCCSc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,2.9
950,CHEMBL1835911,CCOC(=O)c1ccc(COC2CN(c3ccc(C)nn3)C2)cc1,2.5
951,CHEMBL294286,CCn1c2ccccc2c2cc(NC(=O)CN(C)C)ccc21,3.2
952,CHEMBL2326472,Cn1cc(CN2CCc3cc4nc(N)sc4cc3CC2)cn1,1.06
953,CHEMBL25539,CCC(CO)NCCNC(CC)CO,-1.42
954,CHEMBL1923432,Cc1[nH]c(C(=O)NC2CCN(c3cc(C(=O)O)cc(Cl)n3)CC2)c(Cl)c1Cl,1.74
955,CHEMBL208118,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,3.44
956,CHEMBL2035033,NC1(c2ccc(-c3c(-c4ccccc4)ccn4ccnc34)cc2)CCC1,2.0
957,CHEMBL2349321,CC(C)C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,4.2
958,CHEMBL1917450,Cc1c(S(=O)(=O)c2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,-0.83
959,CHEMBL1164652,Cc1ncc(-c2ccnc(Nc3ccccc3)n2)n1C(C)C,3.58
960,CHEMBL481400,CN1CCN(c2ccc3ncc(C(N)=O)c(Nc4ccc(F)cc4F)c3c2)CC1,2.3
961,CHEMBL383696,CC(C)Cn1c(=O)n(C)c(=O)c2c(SC3CCCC3)c(Cc3ccccc3C(F)(F)F)sc21,4.21
962,CHEMBL2036590,O=C(Nc1ccc(N2CCOCC2)nc1)c1nnc(Nc2ccc(F)c(F)c2)o1,2.9
963,CHEMBL1213376,COc1ccc(CCN2CN=C(SCc3ccc(Cl)cc3)NC2)cc1OC,2.41
964,CHEMBL1599839,Oc1nc2ccccc2nc1NCc1ccccc1,3.3
965,CHEMBL1800660,CCCCN(CCNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,2.51
966,CHEMBL274642,NC1=NN(c2cccc(C(F)(F)F)c2)CC1,2.55
967,CHEMBL1455292,CCCCN1Cc2c(nc3cc(-c4ccco4)nn3c2O)C1=O,0.8
968,CHEMBL224399,COc1cc(N2CCN(C)CC2)c2[nH]c(C(=O)Nc3ccc(N4CCOCC4)cc3)cc(=O)c2c1,2.7
969,CHEMBL549620,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1c(Cl)ccc2nc(CN3CCN(CCO)CC3)ccc12,2.93
970,CHEMBL242818,Cc1cc(O)ccc1N1C(=O)c2ccc(O)cc2C1=O,2.0
971,CHEMBL402507,Cc1ccc(Oc2ccc(Nc3ncnc4cccc(O[C@H](C)C(=O)N5CCOCC5)c34)cc2C)cn1,4.14
972,CHEMBL480370,CCNC1=Nc2ccccc2C(c2ccccc2)=NC1c1cccs1,3.98
973,CHEMBL1777848,O=c1oc2c(O)cccc2cc1-c1ccc(O)cc1,2.8
974,CHEMBL341226,COc1cccc(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1C,4.21
975,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,1.39
976,CHEMBL2158470,CCCSc1nc(N2CCOCC2)ccc1C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2,3.2
977,CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1,2.3
978,CHEMBL1079,Clc1ccc2nsnc2c1NC1=NCCN1,0.71
979,CHEMBL2349318,CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12,3.7
980,CHEMBL1087398,C[C@H](Nc1nc(Nc2ncc(C#N)s2)cc(N2CCOCC2)n1)c1ccc(F)cn1,3.45
981,CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.05
982,CHEMBL1939749,CCOC(=O)Nc1cccc([C@@H](c2ccc(C(=O)N(C)CC)cc2)N2CCN(Cc3nc[nH]c3C)CC2)c1,2.32
983,CHEMBL1682829,CN1CCOc2cc(OC(=O)c3ccccc3)cnc21,3.3
984,CHEMBL158766,Cc1ccc(O)c(O)c1,1.37
985,CHEMBL205245,Cc1nc(Cl)c(Cl)n1Cc1sc2c(c1C(=O)N1CC[C@@H](O)C1)c(=O)n(C)c(=O)n2CC(C)C,1.61
986,CHEMBL484663,O=c1cc(-c2ccc(O)cc2)oc2ccc(O)cc12,3.3
987,CHEMBL1289283,O=c1cc(OCc2ccccc2)ccn1-c1ccc2c(cnn2CCN2CCCC2)c1,2.0
988,CHEMBL2179281,CCCCC[C@H](c1ccc(C(=O)O)c(Oc2cccc(Br)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,1.69
989,CHEMBL2086672,C[C@@H]1CN(C(=O)OC(C)(C)C)CCN1c1ncc(OCc2ccc(S(C)(=O)=O)cc2F)cn1,3.7
990,CHEMBL2036737,CC(C)(C(=O)Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,2.96
991,CHEMBL103355,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1,3.1
992,CHEMBL1600648,Cc1nc2ncnn2c(O)c1CCOC(=O)c1c(F)cccc1F,0.16
993,CHEMBL806,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3.46
994,CHEMBL186526,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1NC(=O)c1ccc(O)cc1,2.65
995,CHEMBL317462,OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,3.14
996,CHEMBL314034,CSc1nc(-c2ccccc2)nn1Cc1ccccc1,3.83
997,CHEMBL347164,COc1ccc(-c2nc(N3CCOCC3)nc(O)c2C#N)cc1,0.2
998,CHEMBL393717,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(N2CCNCC2)ccc1Cl,1.77
999,CHEMBL1369722,Oc1ncnc2scc(-c3ccccc3)c12,2.07
1000,CHEMBL64941,Oc1ccc2[nH]c(CN3CCC(Cc4ccc(F)cc4)CC3)nc2c1,3.8
1001,CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,2.6
1002,CHEMBL2107729,O=C(Nc1ccc(S(=O)(=O)N2CCOCC2)cc1)c1cc(Cl)ccc1NS(=O)(=O)c1ccc(Cl)s1,3.02
1003,CHEMBL1086377,CCN1CCN(CC(=O)Nc2ccc(-c3cccc4c(=O)cc(N5CCOCC5)oc34)c3sc4ccccc4c23)CC1,3.05
1004,CHEMBL218468,CC(C)Cn1c(=O)n(C)c(=O)c2c(C(=O)N3CC[C@@H](O)C3)c(Cc3ccnc4ccc(F)cc34)sc21,1.95
1005,CHEMBL1351893,CCCc1c(C(=O)Nc2ccc(F)cc2C)cnn1-c1ccccc1,3.89
1006,CHEMBL2152906,CC#Cc1ccnc(-c2cccc([C@@]3(c4cc(C)c(=O)n(CC)c4)N=C(N)c4c(F)cccc43)c2)c1,4.4
1007,CHEMBL2062585,CC(=O)Nc1ccc2c(c1)c(-c1cc(NC3CC3)n3ncc(C#N)c3n1)cn2CCC(=O)O,-0.87
1008,CHEMBL436968,CC(C)Oc1cc(OCCN2CCOCC2)cc2ncnc(Nc3c(Cl)ccc4c3OCO4)c12,3.68
1009,CHEMBL108249,O=S(=O)(CCCNCCc1ccc(O)c2nc(O)sc12)NCCOCCc1ccc(F)cc1,1.57
1010,CHEMBL429682,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(NS(C)(=O)=O)sc12,0.92
1011,CHEMBL199237,O=C(NCc1ccccn1)c1ccc(Oc2ccccc2)cc1,2.7
1012,CHEMBL1460615,O=S1(=O)CC(O)C(N2CCC(c3ccccc3)CC2)C1,1.4
1013,CHEMBL591931,N=C(N)c1cc2c(-c3ccccc3)cccc2s1,1.27
1014,CHEMBL570135,Cc1cc(=O)[nH]c2sc(C(=O)c3ccc(Br)cc3)c(N)c12,2.57
1015,CHEMBL1784366,Cc1nsc(C)c1CCC1CCN(S(=O)(=O)CC2(N(O)C=O)CCOCC2)CC1,1.5
1016,CHEMBL414017,Nc1nc(N)c2cc(NCc3ccc(Cl)c(Cl)c3)ccc2n1,2.22
1017,CHEMBL14293,CC(C)C(NC(=O)Cn1c(-c2ccccc2)cc2c(=O)n(CCN3CCOCC3)c(=O)[nH]c2c1=O)C(=O)C(F)(F)F,1.91
1018,CHEMBL260135,Nc1n[nH]c2nnc(-c3ccccc3)c(-c3ccccc3)c12,2.6
1019,CHEMBL2172003,COc1cc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(C#N)CC3)[C@H](C)C2)ccc1C1CC1,3.49
1020,CHEMBL1689134,C[C@H]1CN(Cc2cc(Cl)ccc2OC(C)(C)C(=O)O)CCN1S(=O)(=O)c1ccccc1,0.54
1021,CHEMBL1682832,COC(=O)N1CCOc2cc(COc3ccccc3)cnc21,2.5
1022,CHEMBL581893,COc1ccc2c(C)nc(NC(=N)N)nc2c1,-0.51
1023,CHEMBL2089275,N#Cc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,0.7
1024,CHEMBL934,CC(C)(C(=O)c1cccnc1)c1cccnc1,1.45
1025,CHEMBL2172001,Cc1nnc(C)c2cc(N3CCN(C(=O)[C@@H]4CCCC[C@H]4C(=O)NC4(C#N)CC4)[C@H](C)C3)ccc12,1.93
1026,CHEMBL2164850,O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)[C@H](Cc1ccccc1)NC1(c2ccccn2)CC1,3.44
1027,CHEMBL1299619,CSCc1cc(N2CCOCC2)nc(-c2ccccc2)n1,3.26
1028,CHEMBL1508646,Cc1ccc(-c2nnc(N3CCN(C(=O)c4ccco4)CC3)c3ccccc23)cc1,3.78
1029,CHEMBL2207659,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]nc2C(F)(F)F)CC1,3.02
1030,CHEMBL1736016,O=C(NC1CCCCC1)C1CCCN(S(=O)(=O)c2cccs2)C1,2.93
1031,CHEMBL1529080,Cn1sc(=O)c2cc(S(=O)(=O)NC3CC3)ccc21,1.3
1032,CHEMBL1223246,Cc1cc2n[nH]c(=O)n2c2cc(-c3ccc(C(=O)N4CCOCC4)cc3)ccc12,2.77
1033,CHEMBL1829424,CCC(c1nc2sccc2c(=O)n1Cc1ccccc1)N(CCCN)C(=O)c1ccc(C)cc1,2.06
1034,CHEMBL236779,Nc1nc(CCc2cccc(Br)c2)cc(=O)[nH]1,2.52
1035,CHEMBL233035,O=C(CN1C(=O)C(NC(=O)c2cc3cc(Cl)sc3[nH]2)Cc2ccccc21)NCCO,3.05
1036,CHEMBL1576727,COc1ccc(C(=O)C2CCN(C(=O)c3ccc(F)cc3)CC2)cc1,2.92
1037,CHEMBL1289574,O=C(COCc1ccncc1)N1CCC(F)(c2ccc(Cl)cc2)CC1,3.03
1038,CHEMBL2036778,CCN1CCC[C@@H](C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,1.6
1039,CHEMBL2164690,CC(C)c1ccc2[nH]c3c(c2c1)CN(C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(C#N)CC1)CC3,4.1
1040,CHEMBL571526,Cc1cc(Nc2nc(O[C@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,2.72
1041,CHEMBL322640,CN(C)CC(O)COc1ccc(Nc2cc(Nc3cc(Cl)ccc3Cl)ncn2)cc1,2.6
1042,CHEMBL1972934,Nc1ncnc2sccc12,1.19
1043,CHEMBL130902,COc1c(C#N)cc2ccccc2c1C(=O)N(C)C[C@@H](CCN1CCC(c2ccc(O)cc2[S+](C)[O-])CC1)c1ccc(Cl)c(Cl)c1,3.5
1044,CHEMBL588001,CC1(C)N=C(N)N=C(N)N1c1ccc(Oc2ccc(Cl)cc2)c(Cl)c1,0.79
1045,CHEMBL2335876,COCCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1C,2.78
1046,CHEMBL1382733,Cn1c(-c2ccc(O)nc2)nc2ccccc21,1.2
1047,CHEMBL1500992,O=C(CSc1ccccc1)N1CCN(c2ccccc2)CC1,3.2
1048,CHEMBL2314198,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12,2.75
1049,CHEMBL1917431,Cc1c(Sc2ccc(Cl)cc2)c2cc(S(C)(=O)=O)ccc2n1CC(=O)O,0.54
1050,CHEMBL1809198,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2cnc3c(F)cccn23)n1,3.5
1051,CHEMBL1917443,Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,-0.08
1052,CHEMBL1209430,O=S(=O)(Cc1cc(Cl)cc(Cl)c1)NCC(c1ccccc1)N1CCCCCC1,3.23
1053,CHEMBL1796298,O=C(NCc1ccncn1)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,1.78
1054,CHEMBL385049,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN1CCC[C@@H]1CO,1.96
1055,CHEMBL407848,Cn1c(C#N)ccc1-c1cc(F)c2c(c1)C(C)(C)C(=O)N2,3.21
1056,CHEMBL1762545,COc1cc(Nc2nccc(N(C)c3cc(CO)ccc3C)n2)cc(N2CCOCC2)c1,3.9
1057,CHEMBL480200,Cc1ccc(NC(=O)c2cccc(N(C)C)c2)cc1C(=O)Nc1cccnc1,3.01
1058,CHEMBL2011908,CNc1c(Br)cnc2[nH]c(-c3ccc(S(C)(=O)=O)cc3)nc12,2.88
1059,CHEMBL1184268,Cc1cc(C)cc(-c2c(O)nc3cc(Cl)c(C(=O)Nc4ccncn4)cc3c2OCCC2CCCCN2)c1,1.7
1060,CHEMBL261713,O=C(NO)[C@@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2ccccc2c1,3.23
1061,CHEMBL2326864,CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,-0.82
1062,CHEMBL1401353,Cc1cccc(NS(=O)(=O)c2cccc3nonc23)c1,3.0
1063,CHEMBL260488,CCOC(=O)c1cc(O)c(-c2ccccc2)nn1,0.69
1064,CHEMBL2207281,O=C(NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1)c1c[nH]c(=O)c2cc(S(=O)(=O)NCCO)ccc12,2.06
1065,CHEMBL546,C=CCOc1ccccc1OCC(O)CNC(C)C,0.2
1066,CHEMBL216053,COc1cc2c(Nc3cc(CC(=O)Nc4cccc(F)c4F)[nH]n3)ncnc2cc1OCCCN(CCO)CC(C)C,3.61
1067,CHEMBL298019,CCOC(=O)c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,4.42
1068,CHEMBL205627,COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccccc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,1.5
1069,CHEMBL1180725,CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,0.2
1070,CHEMBL2178949,Cc1nc(C)c(-c2ccc3c(c2)CC[C@]32CC[C@@H](C(=O)O)CC2)nc1C(N)=O,1.2
1071,CHEMBL112880,COc1cc(OC)cc(-c2ccc(NC(=O)OCc3ccccc3)c(=O)n2CC(=O)NC(C(=O)C(F)(F)F)C(C)C)c1,2.26
1072,CHEMBL2036779,CCN1CCOC(C(=O)N2CCN(C(=O)Nc3ccc(Cl)c(Cl)c3)CC2)C1,2.1
1073,CHEMBL436826,CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(C(F)(F)F)cc3)nc3ccccc3c2=O)cc1,4.25
1074,CHEMBL258282,CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,2.45
1075,CHEMBL1617016,Nc1c2c(nc3ccc(Br)cc13)N(c1ccccc1)CC2,3.12
1076,CHEMBL2321999,Clc1ccc([C@H]2CC=CCNC2)cc1Cl,1.95
1077,CHEMBL130590,Cc1ccccc1C(=O)NCC12CC3CC(CC(C3)C1)C2,4.28
1078,CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.35
1079,CHEMBL564607,O=C(O)c1ccc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)cc1,2.48
1080,CHEMBL397688,O=C(NC1Cc2ccccc2N(CC(CO)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,3.56
1081,CHEMBL575099,COc1cc(Nc2cc(Oc3cc(C)c(C)nc3-c3ccccn3)ccn2)cc(OC)c1OC,3.22
1082,CHEMBL2158828,O=C(O)COc1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,2.0
1083,CHEMBL372361,CSc1ccc(OCc2ccccc2)c(C(=O)Nc2ccc(C(=O)O)cn2)c1,1.6
1084,CHEMBL1950724,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCN(C(=O)c2ccccc2)C1)C1CCCCC1,0.82
1085,CHEMBL446519,N#Cc1nc(NC2CCOC2)c(N)c(N2CCOCC2)n1,1.6
1086,CHEMBL2030443,CS(=O)(=O)Cc1cc(N2CCOCC2)nc(-c2cccc(CO)c2)n1,1.0
1087,CHEMBL373339,CC(C)Oc1cc(OCCc2ccsc2)cc(C(=O)Nc2ccc(C(=O)O)cn2)c1,1.74
1088,CHEMBL2035027,NC1(c2ccc(-c3ncc4ccccc4c3-c3ccccc3)cc2)CCC1,3.6
1089,CHEMBL1454596,CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(Cl)cc2)n1,1.32
1090,CHEMBL2158832,O=C(O)c1cccc(CN2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,1.26
1091,CHEMBL1784354,CC(C)(CS(=O)(=O)N1CCN(c2ccc(F)cc2)CC1)N(O)C=O,1.07
1092,CHEMBL2178950,Cc1ncc(C(N)=O)nc1-c1ccc([C@H]2CC[C@H](C(=O)O)CC2)cc1,0.22
1093,CHEMBL1773,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,0.67
1094,CHEMBL1459468,COc1ccccc1C(=O)Nc1nc2ccccc2[nH]1,2.9
1095,CHEMBL2062563,CC(=O)Nc1ccc2ccn(-c3cc(NC4CC4)n4ncc(C#N)c4n3)c2c1,3.29
1096,CHEMBL451570,Nc1nccc(-c2cc3c([nH]2)[C@H](CCF)CNC3=O)n1,0.51
1097,CHEMBL1951912,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cccc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,1.44
1098,CHEMBL320714,Oc1nc2c(O)ccc(CCNCCCCCCOCCc3ccccc3)c2s1,2.21
1099,CHEMBL638,C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,1.7
1100,CHEMBL2031562,Nc1cc(C(=O)Nc2cccc(-c3nnn[nH]3)c2)cc(C(F)(F)F)c1,0.2
1101,CHEMBL1079772,Nc1ncnc2sc(-c3c(-c4ccccc4)ncn3C[C@H]3CCCO3)nc12,2.65
1102,CHEMBL1951908,CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2ccccc2)C2CCN(S(=O)(=O)C(F)(F)F)CC2)CC1,3.39
1103,CHEMBL481611,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,2.9
1104,CHEMBL1945293,COCCNCc1ccc(CCNC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)cc1,-0.54
1105,CHEMBL250124,COc1ccc2c(C)cc(N[C@H]3CCC[C@H](NCc4cccc(OC(F)(F)F)c4)C3)nc2c1,3.61
1106,CHEMBL1347379,Cc1ccc(C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)cc1,3.79
1107,CHEMBL1951072,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CC2C)cc1NC(C)=O,1.95
1108,CHEMBL94191,COc1cc2ncnc(Nc3ccccc3)c2cc1OC,3.04
1109,CHEMBL383760,CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,3.65
1110,CHEMBL1471720,CN1CCN(CC(=O)Nc2c(C#N)cnn2-c2ccccc2)CC1,0.0
1111,CHEMBL2153190,CCCSc1nc(N2CCC[C@H](CC(=O)O)C2)ccc1C(=O)NC1CCCCC1,2.18
1112,CHEMBL2158793,Cc1cc(F)ccc1OC1CCN(CC2CCN([C@@](C)(Cc3ccc(F)cc3)C(=O)O)CC2)CC1,2.0
1113,CHEMBL1621884,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,1.55
1114,CHEMBL1800659,CCCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,3.0
1115,CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,3.72
1116,CHEMBL2153179,CCCSc1ncccc1C(=O)N(C)[C@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2,2.49
1117,CHEMBL1425658,c1csc(Cn2nnnc2CN2CCN(c3nc4ccccc4s3)CC2)c1,3.65
1118,CHEMBL1682834,CC(=O)N1CCOc2cc(COc3ccccc3)cnc21,2.8
1119,CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,2.23
1120,CHEMBL190812,C[C@H](NC(=O)c1cccnc1Oc1ccccc1)c1ccccc1,2.91
1121,CHEMBL318021,CC(CCc1cccc(OCc2ccc3ccccc3n2)c1)CC(=O)O,2.4
1122,CHEMBL1169880,C[C@@H](Oc1ccc(S(C)(=O)=O)cc1C(=O)N1CCN(c2ncc(C(F)(F)F)cc2F)CC1)C(F)(F)F,3.49
1123,CHEMBL445565,Oc1c2ncc3ccccc3c2nn1-c1ccc(Cl)cc1,1.52
1124,CHEMBL1978713,COc1ccc(CNC(=O)c2sc3nc(C)cc(C)c3c2N)cc1,3.85
1125,CHEMBL193093,NC(=O)c1sc(-c2ccsc2)cc1N,2.23
1126,CHEMBL1414985,O=C(Cc1ccccn1)c1ccc(Cl)cc1,2.96
1127,CHEMBL57531,Nc1ncc2cc(-c3c(Br)cccc3Br)c(N)nc2n1,2.06
